scene_ID,frame_ID,object_ID,category,x,y,z,yaw
0020,0,1,VEHICLE,12.154229999,-2.120008,-1.454245,-0.1436493267948964
0020,0,2,VEHICLE,10.236949999,7.823034,-1.514566,0.008438673205103164
0020,0,3,VEHICLE,21.808149999,8.192287,-1.365568,-3.2679489647691184e-07
0020,0,4,VEHICLE,14.399509999,3.763502,-1.455624,-0.014580326794896514
0020,0,5,VEHICLE,24.771169999,3.913699,-1.300225,-0.0052193267948963395
0020,0,6,VEHICLE,23.429189999,-2.744247,-1.247852,-3.2679489647691184e-07
0020,0,8,VEHICLE,33.033849999000005,4.220067,-1.253746,0.002110673205103275
0020,0,9,VEHICLE,37.308529999,8.455218,-1.222339,-0.006542326794896525
0020,0,14,VEHICLE,54.995149999000006,4.789695,-1.011204,0.0060146732051027385
0020,0,17,VEHICLE,40.875369999,0.362095,-1.155939,0.015142673205103208
0020,0,127,VEHICLE,40.450149999000004,-2.945701,-1.146987,-3.2679489647691184e-07
0020,0,128,VEHICLE,49.407109999000006,-2.094607,-1.023201,-3.2679489647691184e-07
0020,0,129,VEHICLE,29.659729999,25.43597,-1.180067,-3.1158833267948967
0020,1,1,VEHICLE,12.491544200835897,-2.1594026955911216,-1.452986,-0.13876825111724633
0020,1,2,VEHICLE,10.445542304549665,7.816361322644131,-1.514428,0.008461748882753195
0020,1,3,VEHICLE,21.899380033040494,8.193902859486267,-1.371108,2.274888275399789e-05
0020,1,4,VEHICLE,14.585632195296677,3.7648630472711297,-1.457361,-0.013771251117246308
0020,1,5,VEHICLE,25.04619890798863,3.9076711924241443,-1.30005,-0.005258251117246537
0020,1,6,VEHICLE,23.7957569312248,-2.740808138753097,-1.27274,-0.005514251117246349
0020,1,8,VEHICLE,33.327133665486784,4.221972615518396,-1.251618,-0.0005282511172466364
0020,1,9,VEHICLE,37.34607187343539,8.445870034216775,-1.224816,-0.006519251117246494
0020,1,14,VEHICLE,55.24711037498517,4.790662036091849,-1.009556,0.006006748882753765
0020,1,17,VEHICLE,41.53783262058144,0.3635483297861328,-1.154486,0.014903748882753032
0020,1,127,VEHICLE,41.050896987170546,-2.9531298247407336,-1.139411,-0.00011325111724636017
0020,1,128,VEHICLE,50.15049687221128,-2.103356816363284,-1.019196,-0.00023825111724651293
0020,2,1,VEHICLE,12.792460423495125,-2.194441086877185,-1.451728,-0.1336661154469274
0020,2,2,VEHICLE,10.580692309351534,7.813347842597033,-1.508058,0.00870488455307239
0020,2,3,VEHICLE,21.951928358331774,8.20191502471784,-1.376647,0.0002658845530723042
0020,2,4,VEHICLE,14.73403752982243,3.771022009698778,-1.459099,-0.012742115446927382
0020,2,5,VEHICLE,25.28349023031933,3.9087554714379085,-1.299875,-0.005078115446927267
0020,2,6,VEHICLE,24.125668121850264,-2.7301147117270133,-1.247196,-0.010808115446927058
0020,2,8,VEHICLE,33.582589396439744,4.232814914508833,-1.249491,-0.002947115446927384
0020,2,9,VEHICLE,37.34486763553846,8.446309790274585,-1.227292,-0.0062761154469272995
0020,2,14,VEHICLE,55.46112730620108,4.805382238822987,-1.007908,0.006218884553072179
0020,2,17,VEHICLE,42.16333626498474,0.3757908714149642,-1.153032,0.01488488455307202
0020,2,127,VEHICLE,41.61540599856712,-2.9498843100902157,-1.131835,-7.115446927219438e-06
0020,2,128,VEHICLE,50.85744873277558,-2.0994108526481146,-1.01519,-0.0002571154469270809
0020,3,1,VEHICLE,13.08998568460067,-2.234091028151207,-1.450469,-0.12888277392984282
0020,3,2,VEHICLE,10.715747900732914,7.806304771441941,-1.516036,0.008630226070156954
0020,3,3,VEHICLE,22.00438820941175,8.202396528438213,-1.382187,0.0001912260701568691
0020,3,4,VEHICLE,14.880956479116632,3.7719479345907816,-1.460837,-0.012030773929842642
0020,3,5,VEHICLE,25.51932886628429,3.90125568712176,-1.2997,-0.0052157739298426264
0020,3,6,VEHICLE,24.452386574597412,-2.728039631977771,-1.271892,-0.01641977392984284
0020,3,8,VEHICLE,33.83670497703211,4.232436255418604,-1.247364,-0.005684773929842901
0020,3,9,VEHICLE,37.34365249046635,8.434326562999521,-1.229769,-0.006351773929842874
0020,3,14,VEHICLE,55.67398548626496,4.801929420255114,-1.006261,0.00611322607015774
0020,3,17,VEHICLE,42.78627380327138,0.37409816085827546,-1.151579,0.014549226070157406
0020,3,127,VEHICLE,42.176292291182314,-2.9604025872978172,-1.124258,-0.00021877392984270827
0020,3,128,VEHICLE,51.56105794037462,-2.1121627091918502,-1.011184,-0.0005937739298427225
0020,4,1,VEHICLE,13.41909947058585,-2.2734307080953338,-1.449211,-0.1240058440153704
0020,4,2,VEHICLE,10.881306710264111,7.799552736542932,-1.5029,0.008649155984629342
0020,4,3,VEHICLE,22.08747785837686,8.204071715650636,-1.387727,0.00021015598462925666
0020,4,4,VEHICLE,15.05890983211215,3.7733813114573653,-1.462575,-0.011225844015370523
0020,4,5,VEHICLE,25.799698529457853,3.8981186419834355,-1.303894,-0.005285844015370245
0020,4,6,VEHICLE,24.804557790563557,-2.7295411946130326,-1.279429,-0.008095844015370446
0020,4,8,VEHICLE,34.121821921288955,4.234319111909628,-1.245237,-0.008327844015370456
