frame_id,object_id,tracklet_id,x_world,y_world,z_world
1,1,887,-4.10346,0.154636,14.0797
1,1,913,-4.1769,0.230483,14.0725
1,1,914,-4.10433,0.232002,14.0774
1,1,915,-4.03125,0.231667,14.0823
1,1,916,-3.95804,0.232636,14.0891
1,1,917,-3.88483,0.233357,14.094
1,1,918,-3.61673,0.222037,13.401
1,1,919,-3.5456,0.222167,13.4055
1,1,933,-4.53853,0.279054,12.9641
1,1,934,-4.51836,0.282405,13.1034
1,1,935,-4.58635,0.291682,13.5014
1,1,936,-4.52431,0.29226,13.5305
1,1,942,-4.25084,0.305884,14.0634
1,1,943,-4.17635,0.307202,14.0703
1,1,944,-4.10375,0.308521,14.0751
1,1,945,-4.03103,0.308573,14.08
1,1,946,-3.95832,0.309184,14.0869
1,1,948,-3.81125,0.310284,14.0986
1,1,949,-3.55161,0.29626,13.4241
1,1,969,-4.59221,0.363675,13.5186
1,1,976,-4.2523,0.382531,14.0631
1,1,977,-4.17664,0.383313,14.068
1,1,978,-4.10364,0.384219,14.0729
1,1,979,-4.03174,0.38445,14.0797
1,1,983,-3.55506,0.369839,13.4411
1,1,1002,-4.51667,0.416081,12.9042
1,1,1003,-4.49742,0.420683,13.0422
1,1,1004,-4.59783,0.436644,13.5341
1,1,1005,-4.53535,0.437137,13.5634
1,1,1012,-4.01907,0.441944,13.5409
1,1,1013,-3.94845,0.442537,13.5472
1,1,1014,-3.87867,0.443305,13.5535
1,1,1019,-3.49086,0.44306,13.4644
1,1,1039,-4.50391,0.483562,12.8737
1,1,1040,-4.4847,0.488618,13.011
1,1,1041,-4.60275,0.509458,13.5514
1,1,1042,-4.66432,0.52444,13.9408
1,1,1050,-3.94349,0.515279,13.5275
1,1,1051,-3.87275,0.51578,13.5339
1,1,1053,-3.73106,0.517056,13.5465
1,1,1054,-3.63803,0.515295,13.4741
1,1,1055,-3.56666,0.515441,13.4786
1,1,1056,-3.49479,0.516745,13.4832
1,1,1069,-6.09757,0.639292,14.8607
1,1,1070,-5.84763,0.620351,14.4556
1,1,1071,-5.43454,0.585106,13.637
1,1,1079,-4.51234,0.545179,12.7111
1,1,1080,-4.4922,0.551061,12.8449
1,1,1081,-4.47312,0.556943,12.9816
1,1,1082,-4.70485,0.594695,13.8467
1,1,1083,-4.64997,0.597762,13.9014
1,1,1084,-4.48495,0.58622,13.6277
1,1,1085,-4.36105,0.579655,13.4701
1,1,1086,-4.29183,0.580674,13.4764
1,1,1091,-3.9375,0.587833,13.5079
1,1,1092,-3.86552,0.588084,13.5143
1,1,1093,-3.79405,0.588507,13.5206
1,1,1094,-3.72286,0.589269,13.5269
1,1,1095,-3.6518,0.590751,13.5333
1,1,1096,-3.56944,0.589916,13.4975
1,1,1097,-3.4978,0.589879,13.5021
1,1,1113,-6.31657,0.737446,15.1817
1,1,1114,-6.05431,0.715329,14.7587
1,1,1115,-5.80653,0.694414,14.3573
1,1,1116,-5.57463,0.675651,13.9795
1,1,1117,-5.35485,0.658109,13.6199
1,1,1118,-5.14643,0.641222,13.2805
1,1,1119,-4.94763,0.625033,12.9581
1,1,1120,-4.75947,0.610334,12.6499
1,1,1121,-4.57788,0.595809,12.3507
1,1,1125,-4.48224,0.61874,12.8147
1,1,1126,-4.74589,0.665082,13.7538
1,1,1127,-4.69199,0.668549,13.8096
1,1,1128,-4.63762,0.672382,13.864
1,1,1129,-4.58297,0.67513,13.9189
