frame_id,object_id,tracklet_id,x_world,y_world,z_world
1,0,2,7.95637,1.41103,18.6828
1,0,5,-2.91305,1.10782,25.4454
1,0,16,-9.09104,-3.30279,28.8979
1,0,17,-1.05626,0.970668,24.1719
1,0,18,1.9659,1.37402,20.6236
1,0,21,7.08055,-2.112,22.0235
1,0,23,-0.448752,0.0753885,23.9334
1,0,24,1.88606,-2.13075,21.324
1,0,25,9.95035,-3.42815,21.8773
1,0,30,-11.2863,-2.82885,24.6419
1,0,32,-10.503,-3.11999,24.9263
1,0,33,-0.414302,-1.68733,23.6565
1,0,34,13.4367,-2.01936,23.554
1,0,44,-9.24647,-3.95595,26.5292
1,0,47,13.209,-0.150894,23.4892
1,0,48,-0.461128,-2.67994,23.8096
1,0,50,-2.99374,-2.81728,23.4912
1,0,52,-3.90345,0.264673,26.049
1,0,54,-0.983244,-3.21341,24.6821
1,0,61,-8.22301,-3.89439,21.2936
1,0,62,-9.05607,-3.45459,26.7997
1,0,63,7.78277,-2.56794,22.2456
1,0,66,-2.44676,-3.95721,22.4476
1,0,67,-6.43118,-1.86453,28.5168
1,0,69,9.36859,-3.2534,21.5762
1,0,70,-1.62769,-4.23189,25.1467
1,0,72,-2.67449,-3.37982,22.3448
1,0,75,-1.35849,1.89133,12.6946
1,0,76,-2.0301,0.714519,25.1291
1,0,78,-10.5559,-3.25087,23.5459
1,0,80,6.35788,-2.8701,21.3596
1,0,81,-3.64561,-1.66954,27.1075
1,0,84,-1.75441,-2.72388,25.4183
1,0,110,7.00439,-3.39088,21.7681
1,0,112,6.7671,0.158342,19.5758
1,0,113,8.56899,-3.40129,22.1249
1,0,114,-4.24012,-2.61702,22.5787
1,0,116,-10.0781,-3.80632,25.9298
1,0,122,-7.68692,-1.24832,29.9092
1,0,123,7.28393,-0.883585,15.3694
1,0,126,-2.02598,0.263888,25.342
1,0,128,-10.3029,-3.46282,24.7316
1,0,130,-4.815,-1.46714,25.5497
1,0,139,-3.43674,0.153291,26.4751
1,0,140,-4.88071,-3.11017,23.0166
1,0,143,-8.28945,-4.20422,24.5571
1,0,144,8.7974,-2.14399,22.3677
1,0,145,-1.25899,-3.9385,25.0886
1,0,147,-9.59178,-0.76214,32.8665
1,0,153,10.0353,-2.5771,22.4368
1,0,154,0.901778,-3.81976,21.4145
1,0,155,9.58598,-2.56703,22.1372
1,0,158,12.8076,0.374997,22.9344
1,0,160,-9.67234,-1.96848,27.9833
1,0,165,3.2469,1.41643,20.1204
1,0,166,0.305471,-3.92958,22.9045
1,0,168,-2.41122,0.527603,25.3615
1,0,169,-0.34593,0.564535,23.8502
1,0,171,0.0361346,1.67357,18.8498
1,0,174,-9.26021,-3.04786,27.279
1,0,187,-2.70714,-3.96355,22.5377
1,0,189,-2.00545,1.59427,24.4404
1,0,190,4.15833,-2.15874,21.1669
1,0,198,-3.43066,-1.84416,25.9142
1,0,199,-3.45542,1.93366,17.3365
1,0,200,-2.26246,-3.12739,25.434
1,0,204,2.73905,0.625865,20.654
1,0,208,-8.48605,-3.39909,28.4894
1,0,209,3.73905,-1.84714,20.9213
1,0,214,-8.65696,-2.76611,29.5949
1,0,219,-3.98003,-3.11922,22.1765
1,0,220,-3.31657,0.862785,25.709
1,0,225,-7.82211,-0.721104,30.1014
1,0,226,-4.31799,-1.81727,22.4719
1,0,230,8.58379,-3.86236,22.0203
1,0,232,-2.16575,-3.72366,24.5167
1,0,233,-0.453345,-3.20402,24.0135
1,0,235,-3.65564,1.13627,25.191
1,0,237,-6.59231,-1.81572,27.8817
1,0,241,4.17485,-0.168194,21.065
1,0,249,-3.62838,-3.43866,22.0831
1,0,250,14.4296,-3.63751,23.9657
1,0,253,-4.9095,0.692594,25.4897
1,0,256,-5.16226,-3.71721,23.2914
1,0,257,-2.24285,-1.69623,25.7586
1,0,264,-9.69566,-3.90417,26.4413
1,0,266,3.37583,-3.01613,20.3827
1,0,267,-9.76132,-2.86825,17.2385
1,0,269,0.00587429,0.840665,18.661
1,0,273,4.21418,1.01377,20.2131
1,0,277,8.72715,-2.9421,22.3067
1,0,284,-5.03654,-3.41703,19.5138
1,0,288,1.88066,-3.28632,20.4916
1,0,292,-2.28655,0.119727,25.546
1,0,293,8.99747,-3.82854,22.1012
1,0,294,-0.506773,-3.82216,24.1332
1,0,295,6.9703,-3.83888,21.816
1,0,297,7.25455,-0.0843418,19.9203
1,0,305,8.05148,0.371286,20.8413
1,0,307,3.58856,0.987183,20.0862
1,0,313,7.13995,-1.88171,22.036
1,0,319,-0.0706787,-1.9949,20.0533
1,0,322,-9.88018,-2.42121,27.5148
1,0,324,-8.7323,-2.42548,29.6284
1,0,325,6.37609,-1.86156,21.5731
1,0,332,6.84627,-0.0510863,21.4329
1,0,336,7.63599,-1.86195,15.7175
1,0,337,-4.23515,-2.94981,22.4214
1,0,342,-10.8491,-4.05262,23.2154
1,0,348,1.90764,-0.145611,21.3114
1,0,350,7.73338,-2.96493,22.1977
1,0,355,2.96428,-1.56984,21.2363
1,0,357,-1.09407,-0.0528991,24.7058
1,0,359,8.63599,-1.90645,22.2605
1,0,362,9.38238,-0.239376,22.5397
1,0,366,1.8878,-1.5779,21.4529
1,0,368,10.4026,-2.27432,22.7114
1,0,375,9.53232,-0.952947,22.8771
1,0,377,12.7759,-0.778772,23.678
